SampleID	Species	Genus	Confer	Family	Order	Superclass	Phylum	Kingdom	Completeness
NC_010091.1	jubatus	Rhynochetos	.	Rhynochetidae	Eurypygiformes	Sarcopterygii	Chordata	Metazoa	complete
EF532933.1	jubatus	Rhynochetos	.	Rhynochetidae	Eurypygiformes	Sarcopterygii	Chordata	Metazoa	complete
KF644581.1	fulica	Heliornis	.	Heliornithidae	Gruiformes	Sarcopterygii	Chordata	Metazoa	complete
NC_025499.1	fulica	Heliornis	.	Heliornithidae	Gruiformes	Sarcopterygii	Chordata	Metazoa	complete
KT356220.1	epops	Upupa	.	Upupidae	Bucerotiformes	Sarcopterygii	Chordata	Metazoa	complete
NC_028178.1	epops	Upupa	.	Upupidae	Bucerotiformes	Sarcopterygii	Chordata	Metazoa	complete
MN356260.1	cyanomelas	Rhinopomastus	.	Rhinopomastidae	Bucerotiformes	Sarcopterygii	Chordata	Metazoa	complete
NC_052796.1	cyanomelas	Rhinopomastus	.	Rhinopomastidae	Bucerotiformes	Sarcopterygii	Chordata	Metazoa	complete
NC_025580.1	nisus	Accipiter	.	Accipitridae	Accipitriformes	Sarcopterygii	Chordata	Metazoa	complete
KM360148.1	nisus	Accipiter	.	Accipitridae	Accipitriformes	Sarcopterygii	Chordata	Metazoa	complete
NC_029188.1	fasciatus	Hieraaetus	.	Accipitridae	Accipitriformes	Sarcopterygii	Chordata	Metazoa	complete
KP329567.1	fasciatus	Hieraaetus	.	Accipitridae	Accipitriformes	Sarcopterygii	Chordata	Metazoa	complete
KP337337.1	lagopus	Buteo	.	Accipitridae	Accipitriformes	Sarcopterygii	Chordata	Metazoa	complete
NC_029189.1	lagopus	Buteo	.	Accipitridae	Accipitriformes	Sarcopterygii	Chordata	Metazoa	complete
AF380305.2	buteo	Buteo	.	Accipitridae	Accipitriformes	Sarcopterygii	Chordata	Metazoa	complete
NC_003128.3	buteo	Buteo	.	Accipitridae	Accipitriformes	Sarcopterygii	Chordata	Metazoa	complete
OP133375.1	indus	Haliastur	.	Accipitridae	Accipitriformes	Sarcopterygii	Chordata	Metazoa	complete
NC_066800.1	indus	Haliastur	.	Accipitridae	Accipitriformes	Sarcopterygii	Chordata	Metazoa	complete
AB830616.1	indicus	Butastur	.	Accipitridae	Accipitriformes	Sarcopterygii	Chordata	Metazoa	complete
NC_032362.1	indicus	Butastur	.	Accipitridae	Accipitriformes	Sarcopterygii	Chordata	Metazoa	complete
AB830617.1	liventer	Butastur	.	Accipitridae	Accipitriformes	Sarcopterygii	Chordata	Metazoa	complete
NC_032363.1	liventer	Butastur	.	Accipitridae	Accipitriformes	Sarcopterygii	Chordata	Metazoa	complete
NC_063526.1	burrovianus	Cathartes	.	Cathartidae	Accipitriformes	Sarcopterygii	Chordata	Metazoa	complete
MN720441.1	burrovianus	Cathartes	.	Cathartidae	Accipitriformes	Sarcopterygii	Chordata	Metazoa	complete
NC_063525.1	atratus	Coragyps	.	Cathartidae	Accipitriformes	Sarcopterygii	Chordata	Metazoa	complete
MN720440.1	atratus	Coragyps	.	Cathartidae	Accipitriformes	Sarcopterygii	Chordata	Metazoa	complete
MN720442.1	papa	Sarcoramphus	.	Cathartidae	Accipitriformes	Sarcopterygii	Chordata	Metazoa	complete
NC_063527.1	papa	Sarcoramphus	.	Cathartidae	Accipitriformes	Sarcopterygii	Chordata	Metazoa	complete
NC_007172.2	melanophrys	Thalassarche	.	Diomedeidae	Procellariiformes	Sarcopterygii	Chordata	Metazoa	complete
AY158677.2	melanophris	Thalassarche	.	Diomedeidae	Procellariiformes	Sarcopterygii	Chordata	Metazoa	complete
KJ735514.1	albatrus	Phoebastria	.	Diomedeidae	Procellariiformes	Sarcopterygii	Chordata	Metazoa	complete
NC_026190.1	albatrus	Phoebastria	.	Diomedeidae	Procellariiformes	Sarcopterygii	Chordata	Metazoa	complete
NC_026189.1	immutabilis	Phoebastria	.	Diomedeidae	Procellariiformes	Sarcopterygii	Chordata	Metazoa	complete
KJ735513.1	immutabilis	Phoebastria	.	Diomedeidae	Procellariiformes	Sarcopterygii	Chordata	Metazoa	complete
KJ735512.1	nigripes	Phoebastria	.	Diomedeidae	Procellariiformes	Sarcopterygii	Chordata	Metazoa	complete
