metric	score	nodes
log_raw	65.239724	England/CAMC-141DBEA/2021|OU190639.1|2021-03-19
log_cosine	0.691734	England/CAMC-141DBEA/2021|OU190639.1|2021-03-19
containment	0.074504	England/CAMC-139D13C/2021|OU059360.1|2021-03-03
weighted_containment	1.051716	England/CAMC-139D13C/2021|OU059360.1|2021-03-03
log_containment	0.232535	England/CAMC-141DBEA/2021|OU190639.1|2021-03-19
